"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","Article"
"144","dec 10_5",1,6,21,2.8,0,1,"No",1,1018,1,1,"R_3HttNrCb0ZfSW9X",0,"Conservative","Neutral",0,1,0,"5"
"145","dec 10_5",1,7,37,4.5,0,3,"Yes",4,599,-2,1,"R_2dngjDMRXhsQs0Z",0,"Liberal","Neutral",0,1,0,"5"
"146","dec 10_5",0,3,63,3.5,0,1,"No",1,2146,3,0,"R_72K5pACPnJRr4lP",0,"Conservative","Neutral",0,0,0,"5"
"147","dec 10_5",1,7,46,3.8,1,2,"No",2,1899,2,1,"R_3HBmnqBM5qo853W",0,"Conservative","Neutral",0,1,0,"5"
"148","dec 10_5",1,6,26,4.5,1,1,"No",4,637,1,1,"R_1AqFY8wdK1YgIzD",0,"Conservative","Neutral",0,1,0,"5"
"149","dec 10_5",1,6,NA,3.6,3,1,"No",4,32854,2,1,"R_1dy2GwFdPl2vZYZ",0,"Conservative","Neutral",0,1,0,"5"
"150","dec 10_5",1,6,19,4.2,1,3,"No",1,1322,-1,1,"R_3phGsfpqaLqCgcN",1,"Liberal","Neutral",0,1,1,"5"
"151","dec 10_5",1,7,60,3.8,1,0,"No",1,2084,1,1,"R_3GqOVH9WiI1hqKr",1,"Conservative","Neutral",0,1,1,"5"
"152","dec 10_5",0,4,38,3.7,1,0,"No",1,2131,0,0,"R_2VQikelWPD3xl5F",1,"Moderate","Neutral",0,0,1,"5"
"153","dec 10_5",1,7,71,3.3,3,3,"No",5,1457,-1,0,"R_3j98XbpWx0IQQry",1,"Liberal","Neutral",0,1,1,"5"
"154","dec 10_5",1,7,50,5,3,2,"Yes",1,1747,-3,0,"R_33mpkUrxPBVZ91h",1,"Liberal","Neutral",0,1,1,"5"
"155","dec 10_5",1,5,63,3.5,1,1,"Yes",5,913,1,1,"R_SNtrWUIbvAjDZrX",1,"Conservative","Neutral",0,1,1,"5"
"156","dec 10_5",1,5,18,2.5,1,3,"Yes",3,1283,2,0,"R_r7GDLlFhrVvu7tL",1,"Conservative","Neutral",0,1,1,"5"
"157","dec 10_5",1,6,36,4.4,0,0,"No",1,676,0,0,"R_1dB2NNG5tTiJFGh",0,"Moderate","Neutral",0,1,0,"5"
"158","dec 10_5",0,5,35,3.5,2,3,"No",4,702,0,0,"R_DpirKwPKzPOGwrT",0,"Moderate","Neutral",0,0,0,"5"
"159","dec 10_5",0,4,52,2.7,1,0,"No",2,938,0,1,"R_STuIaY1oTKXNbFL",0,"Moderate","Neutral",0,0,0,"5"
"160","dec 10_5",0,4,35,5,1,2,"No",2,874,-1,1,"R_aeBnXzFzFxRZEAh",0,"Liberal","Neutral",0,0,0,"5"
"161","dec 10_5",1,7,58,3.9,3,4,"Yes",3,1460,0,1,"R_9FV0e3e8dknb0HL",0,"Moderate","Neutral",0,1,0,"5"
"162","dec 10_5",1,6,38,3.7,1,2,"No",1,763,0,1,"R_udItcJqU387xpg5",0,"Moderate","Neutral",0,1,0,"5"
"163","dec 10_5",1,7,26,5,0,1,"No",3,801,-3,0,"R_2hJB53Xn3iMjrj3",0,"Liberal","Neutral",0,1,0,"5"
"164","dec 10_5",1,7,61,2.8,0,3,"Yes",2,1589,-1,0,"R_YVzP8uqfyb4GXRv",0,"Liberal","Neutral",0,1,0,"5"
"165","dec 10_5",1,7,29,4.4,2,2,"Yes",3,1639,-2,1,"R_bQQ4VbwC4dHiIWR",0,"Liberal","Neutral",0,1,0,"5"
"166","dec 10_5",1,6,19,4.2,1,3,"No",1,1322,-1,1,"R_3phGsfpqaLqCgcN",0,"Liberal","Neutral",0,1,0,"5"
"167","dec 10_5",1,7,60,3.8,1,0,"No",1,2084,1,1,"R_3GqOVH9WiI1hqKr",0,"Conservative","Neutral",0,1,0,"5"
"168","dec 10_5",0,4,38,3.7,1,0,"No",1,2131,0,0,"R_2VQikelWPD3xl5F",0,"Moderate","Neutral",0,0,0,"5"
"169","dec 10_5",1,7,71,3.3,3,3,"No",5,1457,-1,0,"R_3j98XbpWx0IQQry",0,"Liberal","Neutral",0,1,0,"5"
"170","dec 10_5",1,7,50,5,3,2,"Yes",1,1747,-3,0,"R_33mpkUrxPBVZ91h",0,"Liberal","Neutral",0,1,0,"5"
