"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"173","173","1","True",4,0,48,1,0,0,"0","27.0666666666667","3.1","Jun 15_1","R_2VsDR4Lq67vjpAv","0",1,1,"1"
"174","174","1","True",7,4,42,1,2,0,"0","12.9","4","Jun 15_1","R_3g1rP7jDs1mh5Hy","0",1,1,"1"
"175","175","1","True",6,4,50,1,1,1,"1","17.4333333333333","2.2","Jun 15_2","R_3HN3ccjku9kvHyL","-2",1,1,"2"
"176","176","1","True",7,3,65,0,0,0,"0","14.4166666666667","3.5","Jun 15_2","R_Zh1RCEoeg7orbLr","0",1,1,"2"
"177","177","1","True",7,3,24,1,0,0,"0","28.0666666666667","2.7","Jun 15_2","R_2VNJ67CVP02MwRT","2",1,1,"2"
"178","178","1","True",7,1,49,0,1,0,"0","60","4.4","Jun 15_2","R_2VNCVtf61uXVZw6","0",1,1,"2"
"179","179","1","True",7,1,71,0,0,0,"0","32.7333333333333","3.7","Jun 15_2","R_1gtZf0ahEoOSSFX","3",1,1,"2"
"180","180","0","CND",1,4,70,0,0,1,"1","25.3666666666667","3.1","Jun 15_2","R_1SxxDI7xeHhsgCJ","-2",1,0,"2"
"181","181","1","True",6,2,83,0,0,0,"1","32.4","3.9","Jun 15_2","R_2wmZ7RqKS8h5QKW","1",1,1,"2"
"182","182","0","CND",4,3,27,0,3,0,"0","11.3","4.2","Jun 15_2","R_1FJ2AFvRxflWFKb","0",1,0,"2"
"183","183","0","CND",4,1,68,0,1,1,"1","9.9","3.4","Jun 15_2","R_1OMLgllcT7JQUax","-2",1,0,"2"
"184","184","0","CND",5,3,67,0,1,0,"0","44.4666666666667","5","Jun 15_2","R_23UcGvbAGxqxwSP","0",1,0,"2"
"185","185","1","True",5,4,57,1,1,1,"1","15.5166666666667","4.3","Jun 15_2","R_3gXi7BpVnCisyc3","-1",1,1,"2"
"186","186","1","True",6,1,19,1,1,0,"0","17.4666666666667","3.2","Jun 15_2","R_5z5nG6BVMqVzzhf","0",1,1,"2"
