"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"130","dec 10_2",0,4,71,4.7,1,0,"Yes",3,2689,2,1,"R_2R1yDlM1t949LuH",0,"Conservative","Neutral",0,0,0
"131","dec 11_1",1,7,35,4.5,3,2,"Yes",4,564,3,0,"R_2QPPihGiwcen1jP",1,"Conservative","Conservative",1,1,1
"132","dec 11_1",0,4,44,4.5,2,2,"Yes",1,571,-3,1,"R_1P60Ap54Eyx2OKw",1,"Liberal","Conservative",0,0,1
"133","dec 11_1",0,6,65,3.3,3,0,"Yes",4,652,-2,0,"R_271hcZEZ9uOeGFq",1,"Liberal","Conservative",0,0,1
"134","dec 11_1",1,7,39,2.9,1,1,"Yes",3,3659,-2,0,"R_voSJnRA2pvJUc3n",1,"Liberal","Conservative",0,1,1
"135","dec 11_1",0,6,26,4.5,2,1,"Yes",3,862,-3,0,"R_1EhCiwc6oMQApB7",1,"Liberal","Conservative",0,0,1
"136","dec 11_1",0,5,50,3.5,1,3,"No",3,463,0,0,"R_1f6IPmEuMnZT5P5",1,"Moderate","Conservative",0,0,1
"137","dec 11_1",0,4,36,4.3,1,1,"No",2,2873,-2,0,"R_1MLf0ULT3yUnhk0",1,"Liberal","Conservative",0,0,1
"138","dec 11_1",1,6,33,4.7,2,1,"No",4,2228,2,0,"R_2lSERC9YyAcvR7z",1,"Conservative","Conservative",1,1,1
"139","dec 11_1",0,3,57,3.2,1,3,"Yes",1,1696,-2,0,"R_1eQMI9hktnRt4Qh",1,"Liberal","Conservative",0,0,1
"140","dec 11_1",0,4,62,3.8,1,0,"Yes",4,1918,3,0,"R_1C9AW8gKDV6feMW",1,"Conservative","Conservative",1,0,1
"141","dec 11_1",1,6,53,4.6,0,2,"Not Sure",1,8150,0,0,"R_2R4wPonaM5SF88z",1,"Moderate","Conservative",0,1,1
"142","dec 11_1",1,7,64,3.9,1,2,"Not Sure",3,2861,-2,0,"R_SOAMZEzpq9XpQIN",1,"Liberal","Conservative",0,1,1
"143","dec 11_1",1,7,41,4.5,2,1,"No",3,1265,2,0,"R_2aVVcohs8xwwm2o",1,"Conservative","Conservative",1,1,1
"144","dec 11_1",0,4,21,4.3,0,1,"Yes",1,949,3,0,"R_8hSbYAax2DZaH4J",1,"Conservative","Conservative",1,0,1
"145","dec 11_1",1,5,54,2.7,0,3,"Yes",1,2973,-1,1,"R_BFYczR8hmomIclH",1,"Liberal","Conservative",0,1,1
"146","dec 11_1",1,6,27,3.6,1,1,"No",3,641,2,0,"R_2urpgHYx4FGOrax",1,"Conservative","Conservative",1,1,1
"147","dec 11_1",0,3,20,1.2,0,3,"No",2,706,0,1,"R_wUnbMcLqnKh3c5j",1,"Moderate","Conservative",0,0,1
"148","dec 11_1",0,5,50,4.6,2,2,"Yes",2,1099,2,0,"R_1CEcerGcnDuS9yX",1,"Conservative","Conservative",1,0,1
"149","dec 11_1",0,3,18,3.8,2,2,"Not Sure",1,785,0,0,"R_3e38hCd2tg1W4mp",1,"Moderate","Conservative",0,0,1
"150","dec 11_1",0,5,24,4.2,0,1,"No",3,569,-2,1,"R_1OOgMjW2zrXOrzQ",1,"Liberal","Conservative",0,0,1
